batter,total_runs,matches,strike_rate,fours,sixes,highest_score
V Kohli,7995,244,132.13,707,272,6
S Dhawan,6736,221,127.0,763,152,6
RG Sharma,6588,251,130.74,595,278,6
DA Warner,6537,184,139.62,661,233,6
SK Raina,5513,200,136.97,504,203,6
MS Dhoni,5213,228,137.55,363,249,6
AB de Villiers,5148,170,151.41,412,250,6
CH Gayle,4956,141,148.78,407,354,6
RV Uthappa,4942,197,130.6,480,182,6
KD Karthik,4824,233,135.13,462,161,6
KL Rahul,4680,122,134.72,400,186,6
AM Rahane,4640,171,123.5,479,103,6
F du Plessis,4566,138,136.5,422,166,6
SV Samson,4412,162,139.31,352,206,6
AT Rayudu,4325,185,127.54,358,171,6
G Gambhir,4197,151,123.66,490,58,6
SR Watson,3864,141,137.95,374,190,6
MK Pandey,3840,157,120.98,333,110,6
SA Yadav,3575,135,145.21,383,129,6
JC Buttler,3559,106,147.13,354,159,6
