bowler,wickets,matches,economy,bowling_sr
YS Chahal,209,159,7.74,16.85
DJ Bravo,206,158,8.15,15.15
SP Narine,200,175,6.73,20.41
PP Chawla,198,191,7.94,19.44
R Ashwin,195,208,6.95,23.2
B Kumar,195,176,7.45,20.05
SL Malinga,186,122,7.0,15.2
JJ Bumrah,182,133,7.16,16.9
A Mishra,182,162,7.28,18.52
RA Jadeja,168,211,7.56,22.79
UT Yadav,163,147,8.37,18.75
Rashid Khan,157,121,6.88,18.29
Harbhajan Singh,157,160,7.02,21.76
Sandeep Sharma,152,126,7.73,18.57
HV Patel,151,103,8.43,14.32
MM Sharma,147,111,8.54,15.33
Mohammed Shami,144,110,8.26,16.91
AR Patel,131,148,7.28,23.7
TA Boult,128,103,8.13,18.29
R Vinay Kumar,126,104,8.33,16.88
