venue,matches_played,avg_first_innings_score,chose_bat,chose_field
Eden Gardens,77,157.74025974025975,28,49
Wankhede Stadium,73,167.02739726027397,22,51
M Chinnaswamy Stadium,64,167.34375,8,56
Feroz Shah Kotla,59,162.20338983050848,25,34
"Rajiv Gandhi International Stadium, Uppal",49,154.83673469387756,23,26
"MA Chidambaram Stadium, Chepauk",48,167.02083333333334,34,14
Sawai Mansingh Stadium,47,156.91489361702128,19,28
Dubai International Cricket Stadium,46,164.7608695652174,19,27
"Wankhede Stadium, Mumbai",45,178.11111111111111,8,37
"Punjab Cricket Association Stadium, Mohali",35,164.28571428571428,14,21
Sheikh Zayed Stadium,29,159.86206896551724,15,14
Sharjah Cricket Stadium,28,160.03571428571428,8,20
"MA Chidambaram Stadium, Chepauk, Chennai",28,165.53571428571428,12,16
"Narendra Modi Stadium, Ahmedabad",24,174.91666666666666,5,19
Maharashtra Cricket Association Stadium,22,167.4090909090909,2,20
